,Date,Time,City,Population,Result,NormalizedResult
171,2024-05-16,15:00,Frankfurt am Main,764104,[16. 12. 16.  8.  6. 16. 20. 24. 35.  9. 13. 12.  4.],"[0.08376963350785341, 0.06282722513089005, 0.08376963350785341, 0.041884816753926704, 0.031413612565445025, 0.08376963350785341, 0.10471204188481675, 0.1256544502617801, 0.18324607329842932, 0.04712041884816754, 0.06806282722513089, 0.06282722513089005, 0.020942408376963352]"
172,2024-05-16,18:00,Frankfurt am Main,764104,[ 8.  6. 16. 20. 24. 35.  9. 13. 12.  4.  3.  1.  0.],"[0.052980132450331126, 0.039735099337748346, 0.10596026490066225, 0.13245033112582782, 0.15894039735099338, 0.23178807947019867, 0.059602649006622516, 0.08609271523178808, 0.07947019867549669, 0.026490066225165563, 0.019867549668874173, 0.006622516556291391, 0.0]"
173,2024-05-16,21:00,Frankfurt am Main,764104,[20. 24. 35.  9. 13. 12.  4.  3.  1.  0.  0.  1.  0.],"[0.16393442622950818, 0.19672131147540983, 0.28688524590163933, 0.07377049180327869, 0.10655737704918032, 0.09836065573770492, 0.03278688524590164, 0.02459016393442623, 0.00819672131147541, 0.0, 0.0, 0.00819672131147541, 0.0]"
174,2024-05-17,15:00,Frankfurt am Main,764104,[17. 13. 25. 18. 31. 41. 23. 16. 20. 29. 11.  6.  1.],"[0.06772908366533864, 0.05179282868525897, 0.099601593625498, 0.07171314741035857, 0.12350597609561753, 0.16334661354581673, 0.09163346613545817, 0.06374501992031872, 0.0796812749003984, 0.11553784860557768, 0.043824701195219126, 0.02390438247011952, 0.00398406374501992]"
175,2024-05-17,18:00,Frankfurt am Main,764104,[18. 31. 41. 23. 16. 20. 29. 11.  6.  1.  5.  4.  2.],"[0.08695652173913043, 0.1497584541062802, 0.19806763285024154, 0.1111111111111111, 0.07729468599033816, 0.0966183574879227, 0.14009661835748793, 0.05314009661835749, 0.028985507246376812, 0.004830917874396135, 0.024154589371980676, 0.01932367149758454, 0.00966183574879227]"
176,2024-05-17,21:00,Frankfurt am Main,764104,[23. 16. 20. 29. 11.  6.  1.  5.  4.  2.  0.  0.  0.],"[0.19658119658119658, 0.13675213675213677, 0.17094017094017094, 0.24786324786324787, 0.09401709401709402, 0.05128205128205128, 0.008547008547008548, 0.042735042735042736, 0.03418803418803419, 0.017094017094017096, 0.0, 0.0, 0.0]"
177,2024-05-18,15:00,Frankfurt am Main,764104,[ 6.  7. 14. 15. 34. 35. 41. 45. 30. 25. 12.  8.  5.],"[0.021660649819494584, 0.02527075812274368, 0.05054151624548736, 0.05415162454873646, 0.12274368231046931, 0.1263537906137184, 0.148014440433213, 0.1624548736462094, 0.10830324909747292, 0.09025270758122744, 0.04332129963898917, 0.02888086642599278, 0.018050541516245487]"
178,2024-05-18,18:00,Frankfurt am Main,764104,[15. 34. 35. 41. 45. 30. 25. 12.  8.  5.  6.  0.  3.],"[0.05791505791505792, 0.13127413127413126, 0.13513513513513514, 0.1583011583011583, 0.17374517374517376, 0.11583011583011583, 0.09652509652509653, 0.04633204633204633, 0.03088803088803089, 0.019305019305019305, 0.023166023166023165, 0.0, 0.011583011583011582]"
179,2024-05-18,21:00,Frankfurt am Main,764104,[41. 45. 30. 25. 12.  8.  5.  6.  0.  3.  3.  2.  1.],"[0.2265193370165746, 0.24861878453038674, 0.16574585635359115, 0.13812154696132597, 0.06629834254143646, 0.04419889502762431, 0.027624309392265192, 0.03314917127071823, 0.0, 0.016574585635359115, 0.016574585635359115, 0.011049723756906077, 0.0055248618784530384]"
180,2024-05-19,15:00,Frankfurt am Main,764104,[ 8. 14.  5.  6. 16.  9. 10.  8.  4.  6.  6.  2.  5.],"[0.08080808080808081, 0.1414141414141414, 0.050505050505050504, 0.06060606060606061, 0.16161616161616163, 0.09090909090909091, 0.10101010101010101, 0.08080808080808081, 0.04040404040404041, 0.06060606060606061, 0.06060606060606061, 0.020202020202020204, 0.050505050505050504]"
