,City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
35,Hamburg,2024-06-26,21:00,1841179,Czechia 1 - 2 Turkey,Group F,[34. 49. 34. 22. 12. 14.  7.  5.  7.  1.  3.  2.  5.],Czechia 1 - 2 Turkey,"[0.17435897435897435, 0.2512820512820513, 0.17435897435897435, 0.11282051282051282, 0.06153846153846154, 0.07179487179487179, 0.035897435897435895, 0.02564102564102564, 0.035897435897435895, 0.005128205128205128, 0.015384615384615385, 0.010256410256410256, 0.02564102564102564]"
36,Dortmund,2024-06-29,21:00,588462,Germany 2 - 0 Denmark,,[18. 21. 20. 38. 71. 79. 46. 49. 18.  7.  0.  1.  0.],Germany 2 - 0 Denmark,"[0.04891304347826087, 0.057065217391304345, 0.05434782608695652, 0.10326086956521739, 0.19293478260869565, 0.21467391304347827, 0.125, 0.1331521739130435, 0.04891304347826087, 0.019021739130434784, 0.0, 0.002717391304347826, 0.0]"
37,Berlin,2024-06-29,18:00,3644826,Switzerland 2 - 0 Italy,,[35. 60. 25. 29. 46. 48. 44. 48. 49. 32. 25. 28. 18.],Switzerland 2 - 0 Italy,"[0.07186858316221766, 0.12320328542094455, 0.0513347022587269, 0.059548254620123205, 0.0944558521560575, 0.09856262833675565, 0.09034907597535935, 0.09856262833675565, 0.10061601642710473, 0.06570841889117043, 0.0513347022587269, 0.057494866529774126, 0.03696098562628337]"
38,Gelsenkirchen,2024-06-30,18:00,260000,England 2 - 1 Slovakia ,,[11.  8.  7. 13. 18. 20. 11.  7. 12.  6.  3.  4.  0.],England 2 - 1 Slovakia ,"[0.09166666666666666, 0.06666666666666667, 0.058333333333333334, 0.10833333333333334, 0.15, 0.16666666666666666, 0.09166666666666666, 0.058333333333333334, 0.1, 0.05, 0.025, 0.03333333333333333, 0.0]"
39,Köln,2024-06-30,21:00,1085664,Spain 4 - 1 Georgia,,[11.  8. 12. 13. 11. 19.  2.  5.  0.  1.  0.  0.  1.],Spain 4 - 1 Georgia,"[0.13253012048192772, 0.0963855421686747, 0.14457831325301204, 0.1566265060240964, 0.13253012048192772, 0.2289156626506024, 0.024096385542168676, 0.060240963855421686, 0.0, 0.012048192771084338, 0.0, 0.0, 0.012048192771084338]"
40,Düsseldorf,2024-07-01,18:00,617280,France 1 - 0 Belgium,,[ 9. 12.  9. 15. 29. 38. 26. 26.  6.  7.  1.  1.  1.],France 1 - 0 Belgium,"[0.05, 0.06666666666666667, 0.05, 0.08333333333333333, 0.16111111111111112, 0.2111111111111111, 0.14444444444444443, 0.14444444444444443, 0.03333333333333333, 0.03888888888888889, 0.005555555555555556, 0.005555555555555556, 0.005555555555555556]"
41,Frankfurt am Main,2024-07-01,21:00,736414,Portugal 0 - 0 Slovenia,,[ 6.  9. 12.  8. 10.  8.  9.  6.  9.  2.  3.  0.  0.],Portugal 0 - 0 Slovenia,"[0.07317073170731707, 0.10975609756097561, 0.14634146341463414, 0.0975609756097561, 0.12195121951219512, 0.0975609756097561, 0.10975609756097561, 0.07317073170731707, 0.10975609756097561, 0.024390243902439025, 0.036585365853658534, 0.0, 0.0]"
42,München,2024-07-02,18:00,1471508,Romania 0 - 3 Netherlands,,[ 9.  7.  5.  9. 13. 11.  7.  5.  5.  8.  3.  2.  0.],Romania 0 - 3 Netherlands,"[0.10714285714285714, 0.08333333333333333, 0.05952380952380952, 0.10714285714285714, 0.15476190476190477, 0.13095238095238096, 0.08333333333333333, 0.05952380952380952, 0.05952380952380952, 0.09523809523809523, 0.03571428571428571, 0.023809523809523808, 0.0]"
43,Leipzig,2024-07-02,21:00,597493,Austria 1 - 2 Turkey,,[19. 29. 28. 32. 53. 91. 94. 49.  8.  2.  1.  0.  1.],Austria 1 - 2 Turkey,"[0.04668304668304668, 0.07125307125307126, 0.0687960687960688, 0.07862407862407862, 0.13022113022113022, 0.22358722358722358, 0.23095823095823095, 0.12039312039312039, 0.019656019656019656, 0.004914004914004914, 0.002457002457002457, 0.0, 0.002457002457002457]"
44,Stuttgart,2024-07-05,18:00,634830,Spain 2 - 1 Germany,,[10.  7.  9. 16. 27. 48. 17. 17. 13.  8.  3.  2.  1.],Spain 2 - 1 Germany,"[0.056179775280898875, 0.03932584269662921, 0.05056179775280899, 0.0898876404494382, 0.15168539325842698, 0.2696629213483146, 0.09550561797752809, 0.09550561797752809, 0.07303370786516854, 0.0449438202247191, 0.016853932584269662, 0.011235955056179775, 0.0056179775280898875]"
45,Hamburg,2024-07-05,21:00,1841179,Portugal 0 - 0 France ,,[40. 37. 45. 20. 13. 14. 15. 12. 13. 12.  4.  2.  1.],Portugal 0 - 0 France ,"[0.17543859649122806, 0.16228070175438597, 0.19736842105263158, 0.08771929824561403, 0.05701754385964912, 0.06140350877192982, 0.06578947368421052, 0.05263157894736842, 0.05701754385964912, 0.05263157894736842, 0.017543859649122806, 0.008771929824561403, 0.0043859649122807015]"
46,Berlin,2024-07-06,18:00,3644826,Netherlands 2 - 1 Turkey,,[36. 36. 45. 29. 53. 50. 32. 51. 40. 31. 28. 16. 15.],Netherlands 2 - 1 Turkey,"[0.07792207792207792, 0.07792207792207792, 0.09740259740259741, 0.06277056277056277, 0.11471861471861472, 0.10822510822510822, 0.06926406926406926, 0.11038961038961038, 0.08658008658008658, 0.0670995670995671, 0.06060606060606061, 0.03463203463203463, 0.032467532467532464]"
47,Düsseldorf,2024-07-06,21:00,617280,England 1 - 1 Switzerland,,[ 9.  8.  5. 10.  5.  9.  1.  4.  3.  4.  1.  1.  1.],England 1 - 1 Switzerland,"[0.14754098360655737, 0.13114754098360656, 0.08196721311475409, 0.16393442622950818, 0.08196721311475409, 0.14754098360655737, 0.01639344262295082, 0.06557377049180328, 0.04918032786885246, 0.06557377049180328, 0.01639344262295082, 0.01639344262295082, 0.01639344262295082]"
48,München,2024-07-09,21:00,1471508,Spain 2 - 1 France,,[9. 9. 6. 3. 3. 2. 2. 1. 0. 0. 1. 0. 0.],Spain 2 - 1 France,"[0.25, 0.25, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333, 0.05555555555555555, 0.05555555555555555, 0.027777777777777776, 0.0, 0.0, 0.027777777777777776, 0.0, 0.0]"
49,Dortmund,2024-07-10,21:00,588462,Netherlands 1 - 2 England,,[16. 17. 12. 15.  6. 10.  6.  5.  8.  7.  0.  0.  0.],Netherlands 1 - 2 England,"[0.1568627450980392, 0.16666666666666666, 0.11764705882352941, 0.14705882352941177, 0.058823529411764705, 0.09803921568627451, 0.058823529411764705, 0.049019607843137254, 0.0784313725490196, 0.06862745098039216, 0.0, 0.0, 0.0]"
50,Berlin,2024-07-14,21:00,3644826,Spain 2 - 1 England,,[51. 41. 54. 47. 41. 33. 12.  7. 15.  9.  4.  5.  2.],Spain 2 - 1 England,"[0.1588785046728972, 0.1277258566978193, 0.16822429906542055, 0.14641744548286603, 0.1277258566978193, 0.102803738317757, 0.037383177570093455, 0.021806853582554516, 0.04672897196261682, 0.028037383177570093, 0.012461059190031152, 0.01557632398753894, 0.006230529595015576]"
