venue_type,day,hour,pair
shopping,2024-05-17,1,1.0
shopping,2024-05-17,2,
shopping,2024-05-17,3,
shopping,2024-05-17,4,1.0
shopping,2024-05-17,5,
shopping,2024-05-17,6,9.0
shopping,2024-05-17,7,26.0
shopping,2024-05-17,8,48.0
shopping,2024-05-17,9,86.0
shopping,2024-05-17,10,140.0
shopping,2024-05-17,11,152.0
shopping,2024-05-17,12,127.0
shopping,2024-05-17,13,117.0
shopping,2024-05-17,14,105.0
shopping,2024-05-17,15,146.0
shopping,2024-05-17,16,142.0
shopping,2024-05-17,17,135.0
shopping,2024-05-17,18,86.0
shopping,2024-05-17,19,70.0
shopping,2024-05-17,20,28.0
shopping,2024-05-17,21,14.0
shopping,2024-05-17,22,8.0
shopping,2024-05-17,23,8.0
shopping,2024-05-18,0,7.0
shopping,2024-05-18,1,3.0
shopping,2024-05-18,2,2.0
shopping,2024-05-18,3,3.0
shopping,2024-05-18,4,2.0
shopping,2024-05-18,5,1.0
shopping,2024-05-18,6,3.0
shopping,2024-05-18,7,25.0
shopping,2024-05-18,8,55.0
shopping,2024-05-18,9,91.0
shopping,2024-05-18,10,172.0
shopping,2024-05-18,11,196.0
shopping,2024-05-18,12,264.0
shopping,2024-05-18,13,201.0
shopping,2024-05-18,14,196.0
shopping,2024-05-18,15,160.0
shopping,2024-05-18,16,151.0
shopping,2024-05-18,17,110.0
shopping,2024-05-18,18,111.0
shopping,2024-05-18,19,61.0
shopping,2024-05-18,20,17.0
shopping,2024-05-18,21,24.0
shopping,2024-05-18,22,13.0
shopping,2024-05-18,23,8.0
shopping,2024-05-19,0,5.0
shopping,2024-05-19,1,5.0
shopping,2024-05-19,2,1.0
shopping,2024-05-19,3,
shopping,2024-05-19,4,2.0
shopping,2024-05-19,5,1.0
shopping,2024-05-19,6,3.0
shopping,2024-05-19,7,6.0
shopping,2024-05-19,8,8.0
shopping,2024-05-19,9,10.0
shopping,2024-05-19,10,15.0
shopping,2024-05-19,11,17.0
shopping,2024-05-19,12,18.0
shopping,2024-05-19,13,24.0
shopping,2024-05-19,14,18.0
shopping,2024-05-19,15,19.0
shopping,2024-05-19,16,25.0
shopping,2024-05-19,17,22.0
shopping,2024-05-19,18,27.0
shopping,2024-05-19,19,15.0
shopping,2024-05-19,20,17.0
shopping,2024-05-19,21,12.0
shopping,2024-05-19,22,16.0
shopping,2024-05-19,23,5.0
shopping,2024-05-20,0,4.0
shopping,2024-05-20,1,3.0
shopping,2024-05-20,2,3.0
shopping,2024-05-20,3,2.0
shopping,2024-05-20,4,1.0
shopping,2024-05-20,5,4.0
