Date,Time,City,Population,Result,NormalizedResult
2024-05-16,18:00,München,1487708,[ 33.  64.  48.  66. 101.  97.  60.  19.  24.  11.   6.   2.   1.],"[0.06203007518796992, 0.12030075187969924, 0.09022556390977443, 0.12406015037593984, 0.18984962406015038, 0.18233082706766918, 0.11278195488721804, 0.03571428571428571, 0.045112781954887216, 0.020676691729323307, 0.011278195488721804, 0.0037593984962406013, 0.0018796992481203006]"
2024-05-16,21:00,München,1487708,[ 66. 101.  97.  60.  19.  24.  11.   6.   2.   1.   0.   1.   1.],"[0.16966580976863754, 0.2596401028277635, 0.2493573264781491, 0.15424164524421594, 0.04884318766066838, 0.061696658097686374, 0.028277634961439587, 0.015424164524421594, 0.005141388174807198, 0.002570694087403599, 0.0, 0.002570694087403599, 0.002570694087403599]"
2024-05-17,15:00,München,1487708,[42. 45. 38. 44. 36. 76. 64. 52. 52. 44. 24. 14. 13.],"[0.07720588235294118, 0.08272058823529412, 0.06985294117647059, 0.08088235294117647, 0.0661764705882353, 0.13970588235294118, 0.11764705882352941, 0.09558823529411764, 0.09558823529411764, 0.08088235294117647, 0.04411764705882353, 0.025735294117647058, 0.02389705882352941]"
2024-05-17,18:00,München,1487708,[44. 36. 76. 64. 52. 52. 44. 24. 14. 13.  8.  3.  3.],"[0.10161662817551963, 0.08314087759815242, 0.17551963048498845, 0.14780600461893764, 0.12009237875288684, 0.12009237875288684, 0.10161662817551963, 0.05542725173210162, 0.03233256351039261, 0.03002309468822171, 0.018475750577367205, 0.006928406466512702, 0.006928406466512702]"
2024-05-17,21:00,München,1487708,[64. 52. 52. 44. 24. 14. 13.  8.  3.  3.  1.  1.  1.],"[0.22857142857142856, 0.18571428571428572, 0.18571428571428572, 0.15714285714285714, 0.08571428571428572, 0.05, 0.04642857142857143, 0.02857142857142857, 0.010714285714285714, 0.010714285714285714, 0.0035714285714285713, 0.0035714285714285713, 0.0035714285714285713]"
2024-05-18,15:00,München,1487708,[22. 40. 59. 67. 92. 46. 61. 44. 44. 41. 28. 18. 12.],"[0.03832752613240418, 0.06968641114982578, 0.10278745644599303, 0.11672473867595819, 0.1602787456445993, 0.08013937282229965, 0.10627177700348432, 0.07665505226480836, 0.07665505226480836, 0.07142857142857142, 0.04878048780487805, 0.0313588850174216, 0.020905923344947737]"
2024-05-18,18:00,München,1487708,[67. 92. 46. 61. 44. 44. 41. 28. 18. 12. 21. 11.  4.],"[0.13701431492842536, 0.18813905930470348, 0.09406952965235174, 0.12474437627811862, 0.08997955010224949, 0.08997955010224949, 0.08384458077709611, 0.05725971370143149, 0.03680981595092025, 0.024539877300613498, 0.04294478527607362, 0.022494887525562373, 0.0081799591002045]"
2024-05-18,21:00,München,1487708,[61. 44. 44. 41. 28. 18. 12. 21. 11.  4.  0.  1.  4.],"[0.21107266435986158, 0.1522491349480969, 0.1522491349480969, 0.14186851211072665, 0.09688581314878893, 0.06228373702422145, 0.04152249134948097, 0.0726643598615917, 0.03806228373702422, 0.01384083044982699, 0.0, 0.0034602076124567475, 0.01384083044982699]"
2024-05-19,15:00,München,1487708,[13. 36. 25. 22. 27. 37. 38. 24. 33. 15. 29. 14.  9.],"[0.040372670807453416, 0.11180124223602485, 0.07763975155279502, 0.06832298136645963, 0.08385093167701864, 0.11490683229813664, 0.11801242236024845, 0.07453416149068323, 0.10248447204968944, 0.046583850931677016, 0.09006211180124224, 0.043478260869565216, 0.027950310559006212]"
2024-05-19,18:00,München,1487708,[22. 27. 37. 38. 24. 33. 15. 29. 14.  9. 14.  7.  2.],"[0.08118081180811808, 0.0996309963099631, 0.13653136531365315, 0.14022140221402213, 0.08856088560885608, 0.12177121771217712, 0.055350553505535055, 0.1070110701107011, 0.05166051660516605, 0.033210332103321034, 0.05166051660516605, 0.025830258302583026, 0.007380073800738007]"
2024-05-19,21:00,München,1487708,[38. 24. 33. 15. 29. 14.  9. 14.  7.  2.  1.  2.  1.],"[0.20105820105820105, 0.12698412698412698, 0.1746031746031746, 0.07936507936507936, 0.15343915343915343, 0.07407407407407407, 0.047619047619047616, 0.07407407407407407, 0.037037037037037035, 0.010582010582010581, 0.005291005291005291, 0.010582010582010581, 0.005291005291005291]"
2024-05-20,15:00,München,1487708,[15. 22. 21. 16. 20. 18. 21. 29. 41. 21. 24. 12. 13.],"[0.054945054945054944, 0.08058608058608059, 0.07692307692307693, 0.05860805860805861, 0.07326007326007326, 0.06593406593406594, 0.07692307692307693, 0.10622710622710622, 0.15018315018315018, 0.07692307692307693, 0.08791208791208792, 0.04395604395604396, 0.047619047619047616]"
