day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-06-10,Stuttgart,144,0,0.8549618320610688,0.8549618320610688
2024-06-11,Berlin,1376,0,1.116235948545602,1.116235948545602
2024-06-11,Dortmund,250,0,0.9500542888165037,0.9500542888165037
2024-06-11,Düsseldorf,258,2,1.162162162162162,1.1711711711711712
2024-06-11,Frankfurt am Main,216,0,1.0610526315789472,1.0610526315789472
2024-06-11,Gelsenkirchen,218,0,0.8204301075268817,0.8204301075268817
2024-06-11,Hamburg,820,0,1.2179079142796518,1.2179079142796518
2024-06-11,Köln,244,0,0.7977580569827184,0.7977580569827184
2024-06-11,Leipzig,538,0,1.0778477389811105,1.0778477389811105
2024-06-11,München,126,0,0.9555796316359696,0.9555796316359696
2024-06-11,Stuttgart,188,0,0.90633608815427,0.90633608815427
2024-06-12,Berlin,1360,0,1.136173767752715,1.136173767752715
2024-06-12,Dortmund,220,0,0.8676056338028169,0.8676056338028169
2024-06-12,Düsseldorf,226,0,1.047682119205298,1.047682119205298
2024-06-12,Frankfurt am Main,162,0,0.9086538461538461,0.9086538461538461
2024-06-12,Gelsenkirchen,240,0,0.8955223880597015,0.8955223880597015
2024-06-12,Hamburg,682,0,0.9762781186094069,0.9762781186094069
2024-06-12,Köln,414,2,1.3275309207512598,1.3339441136051307
2024-06-12,Leipzig,572,0,1.1009073412152874,1.1009073412152874
2024-06-12,München,198,10,1.4682203389830508,1.542372881355932
2024-06-12,Stuttgart,174,0,0.7032332563510393,0.7032332563510393
2024-06-13,Berlin,1288,0,1.0139451192082771,1.0139451192082771
2024-06-13,Dortmund,290,0,1.1734104046242775,1.1734104046242775
2024-06-13,Düsseldorf,234,0,1.0883720930232559,1.0883720930232559
2024-06-13,Frankfurt am Main,240,0,1.2112472963229992,1.2112472963229992
2024-06-13,Gelsenkirchen,298,0,1.0841995841995844,1.0841995841995844
2024-06-13,Hamburg,734,0,1.0311057595825808,1.0311057595825808
2024-06-13,Köln,274,0,0.8842784693407101,0.8842784693407101
2024-06-13,Leipzig,538,0,1.0617423174513674,1.0617423174513674
2024-06-13,München,92,0,0.687299893276414,0.687299893276414
2024-06-13,Stuttgart,188,0,1.0249221183800623,1.0249221183800623
2024-06-14,Berlin,1388,0,1.0526543878656553,1.0526543878656553
2024-06-14,Dortmund,304,0,1.023076923076923,1.023076923076923
2024-06-14,Düsseldorf,272,0,1.0560177481974489,1.0560177481974489
2024-06-14,Frankfurt am Main,264,0,1.2402684563758388,1.2402684563758388
2024-06-14,Gelsenkirchen,254,0,0.8975265017667845,0.8975265017667845
2024-06-14,Hamburg,800,0,1.0016097299230908,1.0016097299230908
2024-06-14,Köln,370,0,0.9414758269720102,0.9414758269720102
2024-06-14,Leipzig,714,0,1.144492786810167,1.144492786810167
2024-06-14,München,130,10,0.9036742800397219,0.9731876861966237
2024-06-14,Stuttgart,214,0,1.07,1.07
2024-06-15,Berlin,994,10,0.9010619010619011,0.9101269101269102
2024-06-15,Dortmund,284,10,0.8532188841201718,0.8832618025751073
2024-06-15,Düsseldorf,206,0,0.6018363939899833,0.6018363939899833
2024-06-15,Frankfurt am Main,158,0,0.8660924040720439,0.8660924040720439
2024-06-15,Gelsenkirchen,186,0,0.7810437912417517,0.7810437912417517
2024-06-15,Hamburg,598,0,0.7976371951219513,0.7976371951219513
2024-06-15,Köln,224,0,0.5697674418604651,0.5697674418604651
2024-06-15,Leipzig,388,0,0.7811331607707794,0.7811331607707794
2024-06-15,München,108,0,0.7248322147651006,0.7248322147651006
2024-06-15,Stuttgart,136,0,0.5704014379868185,0.5704014379868185
2024-06-16,Berlin,562,0,0.8123064216394796,0.8123064216394796
2024-06-16,Dortmund,176,0,0.8573416840640223,0.8573416840640223
2024-06-16,Düsseldorf,164,0,0.8404099560761347,0.8404099560761347
2024-06-16,Frankfurt am Main,136,0,1.010615711252654,1.010615711252654
2024-06-16,Gelsenkirchen,178,0,1.081597222222222,1.081597222222222
2024-06-16,Hamburg,474,8,0.8789403973509933,0.893774834437086
2024-06-16,Köln,298,0,1.009680542110358,1.009680542110358
2024-06-16,Leipzig,268,0,0.8363798484172982,0.8363798484172982
2024-06-16,München,82,0,0.7788331071913162,0.7788331071913162
2024-06-16,Stuttgart,118,8,1.0012121212121212,1.069090909090909
2024-06-17,Berlin,1174,0,1.0248160618530988,1.0248160618530988
2024-06-17,Dortmund,206,0,0.8718258766626361,0.8718258766626361
2024-06-17,Düsseldorf,204,2,0.9622641509433962,0.9716981132075472
2024-06-17,Frankfurt am Main,154,2,0.8222730739893211,0.8329519450800915
2024-06-17,Gelsenkirchen,228,0,0.8631692806922661,0.8631692806922661
2024-06-17,Hamburg,476,0,0.7609043160538936,0.7609043160538936
2024-06-17,Köln,282,0,1.0356768100734524,1.0356768100734524
2024-06-17,Leipzig,450,0,0.984375,0.984375
2024-06-17,München,106,2,0.8760330578512396,0.8925619834710744
2024-06-17,Stuttgart,162,0,0.9618320610687023,0.9618320610687023
2024-06-18,Berlin,1218,0,0.9880635067794645,0.9880635067794645
2024-06-18,Dortmund,320,20,1.2160694896851247,1.292073832790445
2024-06-18,Düsseldorf,238,0,1.072072072072072,1.072072072072072
2024-06-18,Frankfurt am Main,346,0,1.6996491228070174,1.6996491228070174
